DurationInYears,Age Category,CreditRange,Risk
4,young,R5to10000,bad
4,middle-aged,R5to10000,good
2,older,R3to5000,good
4,middle-aged,R5to10000,good
1,young,Rless3000,good
4,young,R3to5000,good
1,young,Rless3000,good
2,older,Rless3000,bad
1,middle-aged,Rless3000,good
2,middle-aged,Rless3000,good
2,middle-aged,Rover10000,bad
1,middle-aged,Rless3000,good
1,older,Rless3000,bad
1,middle-aged,Rless3000,good
1,middle-aged,Rless3000,good
1,middle-aged,Rless3000,good
1,middle-aged,Rless3000,good
5,older,R5to10000,good
1,middle-aged,Rless3000,good
2,middle-aged,R3to5000,good
4,middle-aged,R5to10000,good
1,middle-aged,Rless3000,good
3,young,R3to5000,good
1,middle-aged,Rless3000,bad
1,young,Rless3000,good
1,middle-aged,Rless3000,good
2,young,R5to10000,bad
4,older,R5to10000,good
1,young,Rless3000,good
4,middle-aged,R5to10000,good
3,older,Rless3000,good
1,young,Rless3000,good
3,young,R5to10000,bad
1,middle-aged,Rless3000,good
3,older,Rless3000,good
4,young,Rover10000,bad
1,young,Rless3000,good
4,middle-aged,R5to10000,good
1,older,Rless3000,bad
3,middle-aged,R3to5000,good
1,older,R3to5000,good
2,young,R3to5000,good
2,older,Rless3000,bad
1,older,Rless3000,bad
1,middle-aged,Rless3000,good
3,older,Rover10000,good
1,middle-aged,Rless3000,good
1,middle-aged,Rless3000,bad
1,older,Rless3000,bad
1,older,Rless3000,bad
4,older,Rover10000,good
1,middle-aged,Rless3000,good
3,middle-aged,Rless3000,good
3,young,Rless3000,good
1,middle-aged,Rless3000,good
2,middle-aged,Rover10000,bad
4,middle-aged,R5to10000,good
1,middle-aged,Rless3000,good
1,middle-aged,Rless3000,good
1,young,Rless3000,good
4,middle-aged,R5to10000,good
1,middle-aged,Rless3000,good
2,young,R3to5000,good
1,middle-aged,Rless3000,good
1,young,Rless3000,good
1,older,Rless3000,bad
1,middle-aged,Rless3000,good
1,middle-aged,Rless3000,good
1,middle-aged,Rless3000,bad
1,middle-aged,Rless3000,good
1,middle-aged,Rless3000,bad
3,middle-aged,R5to10000,bad
1,older,Rless3000,bad
1,middle-aged,Rless3000,good
1,middle-aged,Rless3000,good
3,middle-aged,R3to5000,good
2,middle-aged,Rless3000,good
1,young,Rless3000,good
4,middle-aged,R3to5000,good
1,middle-aged,Rless3000,good
3,middle-aged,R3to5000,good
3,young,R5to10000,bad
4,middle-aged,R5to10000,good
4,middle-aged,R5to10000,good
1,young,Rless3000,good
1,older,Rless3000,bad
1,middle-aged,Rless3000,good
2,middle-aged,R3to5000,good
4,older,R5to10000,good
1,middle-aged,Rless3000,bad
1,young,Rless3000,good
2,middle-aged,Rless3000,good
1,middle-aged,Rless3000,bad
2,middle-aged,Rless3000,good
1,middle-aged,Rless3000,good
1,middle-aged,Rless3000,bad
1,middle-aged,Rless3000,good
1,older,Rless3000,bad
1,older,Rless3000,bad
3,middle-aged,R3to5000,bad
1,middle-aged,Rless3000,bad
1,older,R3to5000,good
1,older,Rless3000,bad
1,young,Rless3000,good
1,middle-aged,Rless3000,good
4,middle-aged,R3to5000,bad
2,middle-aged,R3to5000,bad
3,young,Rless3000,good
1,middle-aged,Rless3000,bad
1,middle-aged,Rless3000,bad
1,middle-aged,R3to5000,bad
1,middle-aged,Rless3000,good
1,young,Rless3000,good
2,middle-aged,Rover10000,bad
2,young,R5to10000,bad
2,older,R3to5000,good
2,older,Rless3000,bad
1,middle-aged,Rless3000,good
3,young,R3to5000,good
2,young,Rless3000,good
1,middle-aged,Rless3000,good
4,middle-aged,Rover10000,bad
4,older,R5to10000,good
2,young,Rless3000,good
3,middle-aged,R3to5000,good
1,older,Rless3000,bad
1,young,Rless3000,good
2,middle-aged,Rless3000,good
1,older,Rless3000,bad
2,middle-aged,Rless3000,good
